nombre,id_candidato,fecha,partido,id_partido,activo,observacion,foto,video,nota,epigrafe
RAMOS MORALES ANA VERONICA,58,2015,MINISTERIO DE DESARROLLO PRODUCTIVO Y ECONOMÍA PLURAL,13,1,,,,,
RAMOS SANCHEZ JULIA DAMIANA,59,2009,MINISTERIO DE DESARROLLO RURAL Y TIERRAS,17,1,,,,,
RIC RIERA SALVADOR,60,2006,MINISTERIO DE OBRAS PÚBLICAS SERVICIOS Y VIVIENDAS,5,1,,,,,
RIVERO GUZMAN SUSANA,61,2007,MINISTERIO DE DESARROLLO PRODUCTIVO Y ECONOMÍA PLURAL,13,1,,,,,
RIVERO GUZMAN SUSANA,61,2008,MINISTERIO DE DESARROLLO PRODUCTIVO Y ECONOMÍA PLURAL,13,1,,,,,
RIVERO GUZMAN SUSANA,61,2009,MINISTERIO DE DESARROLLO PRODUCTIVO Y ECONOMÍA PLURAL,13,1,,,,,
ROCABADO TUBERT MARIA CECILIA,62,2009,MINISTERIO DE DEFENSA LEGAL DEL ESTADO,20,1,,,,,
RODRIGUEZ MEDRANO ANTONIA,63,2010,MINISTERIO DE DESARROLLO PRODUCTIVO Y ECONOMÍA PLURAL,13,1,,,,,
RODRIGUEZ ROMERO CASIMIRA,64,2006,MINISTERIO DE JUSTICIA,10,1,,,,,
ROJAS GUTIERREZ FELIX,65,2011,MINISTERIO DE TRABAJO EMPLEO Y PREVISIÓN SOCIAL,11,1,,,,,
ROMERO BONIFAZ CARLOS GUSTAVO,66,2008,MINISTERIO DE DESARROLLO RURAL Y TIERRAS,17,1,,,,,
ROMERO BONIFAZ CARLOS GUSTAVO,66,2009,MINISTERIO DE AUTONOMÍAS,18,1,,,,,
ROMERO BONIFAZ CARLOS GUSTAVO,66,2010,MINISTERIO DE AUTONOMÍAS,18,1,,,,,
ROMERO BONIFAZ CARLOS GUSTAVO,66,2011,MINISTERIO DE AUTONOMÍAS,18,1,,,,,
ROMERO BONIFAZ CARLOS GUSTAVO,66,2011,MINISTERIO DE LA PRESIDENCIA,3,1,,,,,
ROMERO BONIFAZ CARLOS GUSTAVO,66,2012,MINISTERIO DE GOBIERNO,2,1,,,,,
ROMERO BONIFAZ CARLOS GUSTAVO,66,2013,MINISTERIO DE GOBIERNO,2,1,,,,,
ROMERO BONIFAZ CARLOS GUSTAVO,66,2014,MINISTERIO DE GOBIERNO,2,1,,,,,
ROMERO BONIFAZ CARLOS GUSTAVO,66,2015,MINISTERIO DE GOBIERNO,2,1,,,,,
SAAVEDRA SOTO RUBEN ALDO,67,2010,MINISTERIO DE DEFENSA,7,1,,,,,
SAAVEDRA SOTO RUBEN ALDO,67,2011,MINISTERIO DE DEFENSA,7,1,,,,,
SAAVEDRA SOTO RUBEN ALDO,67,2012,MINISTERIO DE DEFENSA,7,1,,,,,
SAAVEDRA SOTO RUBEN ALDO,67,2013,MINISTERIO DE DEFENSA,7,1,,,,,
SAAVEDRA SOTO RUBEN ALDO,67,2014,MINISTERIO DE DEFENSA,7,1,,,,,
SALGUERO CARRILLO ELIZABETH CRISTINA,68,2011,"MINISTERIO DE CULTURA (LUEGO ""Y TURISMO"")",21,1,,,,,
SALVATIERRA GUTIÉRREZ HUGO,69,2006,MINISTERIO DE DESARROLLO PRODUCTIVO Y ECONOMÍA PLURAL,13,1,,,,,
SAN MIGUEL RODRIGUEZ WALKER SIXTO,70,2006,MINISTERIO DE DEFENSA,7,1,,,,,
SAN MIGUEL RODRIGUEZ WALKER SIXTO,70,2007,MINISTERIO DE DEFENSA,7,1,,,,,
SAN MIGUEL RODRIGUEZ WALKER SIXTO,70,2008,MINISTERIO DE DEFENSA,7,1,,,,,
SAN MIGUEL RODRIGUEZ WALKER SIXTO,70,2009,MINISTERIO DE DEFENSA,7,1,,,,,
SANCHEZ ESCOBAR ARTURO VLADIMIR,71,2012,MINISTERIO DE OBRAS PÚBLICAS SERVICIOS Y VIVIENDAS,5,1,,,,,
SANCHEZ ESCOBAR ARTURO VLADIMIR,71,2013,MINISTERIO DE OBRAS PÚBLICAS SERVICIOS Y VIVIENDAS,5,1,,,,,
SANCHEZ ESCOBAR ARTURO VLADIMIR,71,2014,MINISTERIO DE OBRAS PÚBLICAS SERVICIOS Y VIVIENDAS,5,1,,,,,
SANCHEZ FERNANDEZ LUIS ALBERTO,78,2015,MINISTERIO DE HIDROCARBUROS Y ENERGIA,8,1,,,,,
SANTALLA TORREZ DANIEL,73,2012,MINISTERIO DE TRABAJO EMPLEO Y PREVISIÓN SOCIAL,11,1,,,,,
SANTALLA TORREZ DANIEL,73,2013,MINISTERIO DE TRABAJO EMPLEO Y PREVISIÓN SOCIAL,11,1,,,,,
SANTALLA TORREZ DANIEL,73,2014,MINISTERIO DE TRABAJO EMPLEO Y PREVISIÓN SOCIAL,11,1,,,,,
SELUM RIVERO WALTER HAROLD,74,2008,MINISTERIO DE SALUD Y DEPORTES,14,1,,,,,
SILES NUÑEZ DEL PRADO HUGO JOSE,75,2015,MINISTERIO DE AUTONOMÍAS,18,1,,,,,
SOLIZ RADA ANDRES ANTENOR,76,2006,MINISTERIO DE HIDROCARBUROS Y ENERGIA,8,1,,,,,
SOSA LUNDA CELINDA,77,2006,MINISTERIO DE DESARROLLO ECONÓMICO Y MICROEMPRESA,15,1,,,,,
SOSA LUNDA CELINDA,77,2007,MINISTERIO DE DESARROLLO ECONÓMICO Y MICROEMPRESA,15,1,,,,,
SOSA SORUCO JUAN JOSE HERNANDO,78,2012,MINISTERIO DE HIDROCARBUROS Y ENERGIA,8,1,,,,,
SOSA SORUCO JUAN JOSE HERNANDO,78,2013,MINISTERIO DE HIDROCARBUROS Y ENERGIA,8,1,,,,,
SOSA SORUCO JUAN JOSE HERNANDO,78,2014,MINISTERIO DE HIDROCARBUROS Y ENERGIA,8,1,,,,,
SUXO ITURRY NARDI ELIZABETH,79,2009,MINISTERIO DE TRANSPARENCIA INSTITUCIONAL Y LUCHA CONTRA LA CORRUPCIÓN,19,1,,,,,
SUXO ITURRY NARDI ELIZABETH,79,2010,MINISTERIO DE TRANSPARENCIA INSTITUCIONAL Y LUCHA CONTRA LA CORRUPCIÓN,19,1,,,,,
SUXO ITURRY NARDI ELIZABETH,79,2011,MINISTERIO DE TRANSPARENCIA INSTITUCIONAL Y LUCHA CONTRA LA CORRUPCIÓN,19,1,,,,,
SUXO ITURRY NARDI ELIZABETH,79,2012,MINISTERIO DE TRANSPARENCIA INSTITUCIONAL Y LUCHA CONTRA LA CORRUPCIÓN,19,1,,,,,
